User,month,year,parameter,value,NormValue,PlotValue,alpha,UserNorm,UserNormValue,MoYear,dx,dy
Wellton-Mohawk I.D.D.,1,2012,Consumptive Use,NA,NA,0.605156410294168,0.5,NA,0.605156410294168,2012-01-01,1905787.703,25988886.65
Yuma County WUA,1,2012,Consumptive Use,NA,NA,0.501946159309623,0.5,NA,0.501946159309623,2012-01-01,1905787.703,25572579.84
Yuma Irrigation District,1,2012,Consumptive Use,1734,0.31470054446461,0.31470054446461,0.5,0.31470054446461,0.31470054446461,2012-01-01,1905787.703,25711348.78
Yuma Mesa I.D.D.,1,2012,Consumptive Use,4736,0.266246908027884,0.266246908027884,0.5,0.266246908027884,0.266246908027884,2012-01-01,1905787.703,25850117.71
Bard Unit,2,2012,Diversion,3421,0.520620910059352,0.520620910059352,0.5,0.520620910059352,0.520620910059352,2012-02-01,699103.7691,25572579.84
Bullhead City,2,2012,Diversion,523,0.453599306157849,0.453599306157849,0.5,0.453599306157849,0.453599306157849,2012-02-01,699103.7691,26543962.39
Central Arizona Project,2,2012,Diversion,168959,0.901129084732022,0.901129084732022,0.5,0.901129084732022,0.901129084732022,2012-02-01,1424007.529,26127655.58
Chemehuevi Indian Reservation,2,2012,Diversion,13,0.325,0.325,0.5,0.325,0.325,2012-02-01,1424007.529,26543962.39
Cibola Valley I.D.D.,2,2012,Diversion,NA,NA,0.368758396775638,0.5,NA,0.368758396775638,2012-02-01,699103.7691,26335808.99
City of Yuma,2,2012,Diversion,1921,0.774596774193548,0.774596774193548,0.5,0.774596774193548,0.774596774193548,2012-02-01,1905787.703,26405193.45
Coachella Valley Water District,2,2012,Diversion,20569,0.486540826946731,0.486540826946731,0.5,0.486540826946731,0.486540826946731,2012-02-01,699103.7691,25711348.78
Cocopah Indian Reservation,2,2012,Diversion,410,0.25625,0.25625,0.5,0.25625,0.25625,2012-02-01,699103.7691,25850117.71
Colorado River Indian Reservation,2,2012,Diversion,40920,0.510721150245875,0.510721150245875,0.5,0.510721150245875,0.510721150245875,2012-02-01,1172486.567,25877855.74
Fort Mojave Indian Reservation,2,2012,Diversion,5080,0.339890271644587,0.339890271644587,0.5,0.339890271644587,0.339890271644587,2012-02-01,1424007.529,26266424.52
Imperial Irrigation District,2,2012,Diversion,175122,0.523400630631977,0.523400630631977,0.5,0.523400630631977,0.523400630631977,2012-02-01,699103.7691,25988886.65
Lake Havasu City,2,2012,Diversion,832,0.62089552238806,0.62089552238806,0.5,0.62089552238806,0.62089552238806,2012-02-01,1424007.529,26682731.33
Met. Water District of So. Cal.,2,2012,Diversion,NA,NA,0.712419748900305,0.5,NA,0.712419748900305,2012-02-01,1424007.529,26405193.45
